session_key,ts,category,flag,scope,sector,lap_number,driver_id,message
9685,2025-02-28 13:45:15+02,Other,,,,,,RISK OF RAIN FOR THIS PM SESSION IS 0%
9685,2025-02-28 13:58:19+02,Other,,,,,,PINK HEAD PADDING MATERIAL MUST BE USED
9685,2025-02-28 14:00:00.567+02,SessionStatus,,,,,,SESSION STARTED
9685,2025-02-28 14:00:01+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9685,2025-02-28 14:07:42.848+02,SessionStatus,,,,,,SESSION ABORTED
9685,2025-02-28 14:07:43+02,Flag,RED,Track,,,,RED FLAG
9685,2025-02-28 14:09:51+02,Flag,CLEAR,Track,,,,TRACK CLEAR
9685,2025-02-28 14:10:04+02,Other,,,,,,SESSION WILL RESUME AT 15:11
9685,2025-02-28 14:10:10+02,Drs,,,,,,DRS ENABLED
9685,2025-02-28 14:11:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
